iter	Passed	Remaining
411	3991	34756
412	4002	34762
413	4009	34730
414	4016	34698
415	4027	34698
416	4034	34661
417	4045	34663
418	4056	34665
419	4062	34629
420	4069	34596
421	4080	34596
422	4087	34564
423	4097	34554
424	4107	34554
425	4114	34518
426	4124	34516
427	4135	34516
428	4146	34516
429	4157	34513
430	4168	34517
431	4178	34513
432	4189	34514
433	4197	34487
434	4206	34475
435	4217	34472
436	4229	34480
437	4235	34444
438	4246	34442
439	4257	34443
440	4268	34451
441	4280	34459
442	4291	34455
443	4297	34422
444	4304	34390
445	4315	34384
446	4323	34365
447	4329	34326
448	4339	34318
449	4345	34282
450	4354	34269
451	4364	34257
452	4376	34268
453	4387	34266
454	4399	34273
455	4408	34263
456	4416	34240
457	4426	34232
458	4436	34224
459	4443	34192
460	4454	34194
461	4459	34154
462	4470	34152
463	4476	34110
464	4485	34098
465	4495	34088
466	4505	34085
467	4516	34085
468	4525	34072
469	4537	34075
470	4544	34046
471	4554	34046
472	4566	34050
473	4577	34050
474	4587	34046
475	4598	34045
476	4610	34054
477	4619	34040
478	4629	34028
479	4640	34030
480	4649	34017
481	4660	34015
482	4670	34007
483	4680	34004
484	4687	33968
485	4695	33950
486	4702	33919
487	4711	33905
488	4721	33902
489	4733	33904
490	4744	33904
491	4754	33901
492	4765	33899
493	4776	33901
494	4786	33889
495	4798	33896
496	4808	33890
497	4818	33885
498	4830	33888
499	4838	33870
500	4848	33864
501	4859	33858
502	4872	33875
503	4881	33863
504	4893	33866
505	4904	33866
506	4914	33857
507	4925	33856
508	4934	33843
509	4945	33844
510	4956	33842
511	4964	33822
512	4974	33810
513	4982	33789
514	4993	33787
515	5002	33778
516	5012	33768
517	5021	33755
518	5031	33745
519	5041	33737
520	5050	33728
521	5058	33703
522	5069	33700
523	5079	33698
524	5090	33695
525	5098	33675
526	5105	33646
527	5116	33644
528	5126	33638
529	5136	33629
530	5147	33627
531	5157	33621
532	5169	33627
533	5181	33630
534	5192	33629
535	5204	33631
536	5213	33620
537	5223	33614
538	5235	33617
539	5244	33604
540	5254	33598
541	5265	33591
542	5276	33592
543	5285	33580
544	5297	33582
545	5308	33581
546	5315	33552
547	5322	33530
548	5329	33502
549	5341	33506
550	5348	33481
551	5355	33450
552	5363	33433
553	5374	33431
554	5383	33416
555	5394	33415
556	5405	33416
557	5413	33390
558	5421	33372
559	5429	33353
560	5439	33342
561	5444	33305
562	5455	33304
563	5461	33270
564	5472	33269
565	5482	33261
566	5492	33253
567	5500	33234
568	5511	33230
569	5521	33228
570	5532	33221
571	5543	33219
572	5552	33207
573	5559	33182
574	5571	33185
575	5580	33170
576	5589	33159
577	5600	33157
578	5608	33135
579	5617	33125
580	5628	33120
581	5637	33109
582	5645	33089
583	5656	33086
584	5666	33077
585	5676	33068
586	5682	33037
587	5693	33034
588	5702	33025
589	5713	33019
590	5721	33004
591	5733	33004
592	5742	32991
593	5753	32988
594	5763	32980
595	5774	32980
596	5785	32976
597	5796	32978
598	5807	32974
599	5816	32959
600	5825	32946
601	5835	32937
602	5844	32927
603	5855	32923
604	5864	32909
605	5875	32905
606	5884	32891
607	5895	32888
608	5905	32883
609	5913	32861
610	5923	32857
611	5935	32856
612	5945	32847
613	5954	32835
614	5964	32826
615	5972	32812
616	5983	32810
617	5994	32802
618	6005	32799
619	6016	32797
620	6026	32790
621	6036	32785
622	6046	32775
623	6055	32764
624	6065	32752
625	6076	32748
626	6085	32735
627	6095	32728
628	6101	32700
629	6112	32697
630	6123	32694
631	6133	32687
632	6144	32683
633	6155	32677
634	6166	32676
635	6175	32665
636	6184	32651
637	6193	32635
638	6203	32629
639	6213	32622
640	6223	32611
641	6232	32600
642	6243	32594
643	6252	32584
644	6263	32581
645	6274	32576
646	6283	32563
647	6292	32552
648	6302	32544
649	6312	32532
650	6322	32523
651	6331	32509
652	6340	32496
653	6349	32487
654	6359	32475
655	6370	32471
656	6379	32462
657	6391	32463
658	6402	32459
659	6412	32451
660	6422	32442
661	6433	32437
662	6443	32428
663	6451	32413
664	6460	32400
665	6472	32398
666	6481	32386
667	6491	32378
668	6502	32374
669	6511	32365
670	6522	32357
671	6532	32349
672	6541	32335
673	6550	32323
674	6560	32317
675	6567	32295
676	6579	32292
677	6590	32290
678	6600	32285
679	6608	32264
680	6618	32255
681	6625	32231
682	6631	32207
683	6641	32199
684	6652	32196
685	6661	32183
686	6669	32163
687	6680	32158
688	6689	32145
689	6696	32124
690	6706	32116
691	6717	32113
692	6730	32117
693	6740	32108
694	6750	32100
695	6761	32098
696	6770	32083
697	6781	32079
698	6790	32068
699	6797	32046
700	6809	32044
701	6817	32029
702	6828	32025
703	6837	32010
704	6847	32001
705	6857	31997
706	6868	31990
707	6878	31984
708	6887	31970
709	6897	31959
710	6905	31944
711	6913	31927
712	6924	31924
713	6936	31921
714	6946	31916
715	6957	31911
716	6965	31895
717	6975	31883
718	6983	31869
719	6995	31869
720	7002	31846
721	7012	31840
722	7023	31834
723	7034	31830
724	7044	31823
725	7056	31821
726	7064	31806
727	7074	31795
728	7083	31784
729	7092	31769
730	7101	31756
731	7111	31749
732	7121	31740
733	7131	31730
734	7140	31719
735	7149	31706
736	7160	31700
737	7169	31690
738	7180	31684
739	7189	31674
740	7200	31669
741	7209	31653
742	7219	31645
743	7229	31638
744	7240	31636
745	7250	31624
746	7261	31621
747	7271	31614
748	7282	31609
749	7293	31604
750	7300	31582
751	7310	31573
752	7318	31556
753	7329	31552
754	7340	31550
755	7351	31546
756	7363	31544
757	7374	31539
758	7384	31533
759	7394	31523
760	7403	31508
761	7411	31495
762	7422	31488
763	7431	31476
764	7441	31467
765	7452	31463
766	7462	31457
767	7472	31447
768	7484	31446
769	7494	31438
770	7505	31432
771	7516	31428
772	7524	31411
773	7533	31400
774	7541	31383
775	7552	31376
776	7560	31359
777	7568	31344
778	7579	31339
779	7588	31327
780	7600	31325
781	7610	31319
782	7620	31309
783	7629	31298
784	7640	31293
785	7651	31289
786	7662	31284
787	7671	31269
788	7682	31266
789	7692	31256
790	7702	31246
791	7713	31242
792	7723	31236
793	7734	31229
794	7743	31218
795	7755	31217
796	7767	31215
797	7777	31207
798	7787	31198
799	7797	31188
800	7808	31184
801	7819	31182
802	7830	31175
803	7839	31162
804	7851	31163
805	7862	31155
806	7872	31147
807	7881	31133
808	7890	31124
809	7901	31117
810	7909	31101
811	7918	31089
812	7928	31080
813	7938	31069
814	7949	31065
815	7958	31054
816	7967	31040
817	7975	31025
818	7985	31015
819	7995	31005
820	8005	30997
821	8014	30985
822	8022	30967
823	8030	30952
824	8039	30941
825	8049	30932
826	8060	30925
827	8071	30921
828	8082	30915
829	8091	30905
830	8100	30891
831	8110	30880
832	8121	30879
833	8133	30874
834	8142	30863
835	8152	30854
836	8157	30828
837	8167	30818
838	8177	30811
839	8187	30798
840	8198	30795
841	8207	30784
842	8217	30772
843	8226	30759
844	8234	30745
845	8243	30731
846	8252	30718
847	8261	30707
848	8271	30699
849	8283	30697
850	8292	30684
851	8303	30679
852	8308	30653
853	8319	30649
854	8329	30640
855	8339	30630
856	8349	30621
857	8359	30611
858	8369	30602
859	8380	30598
860	8389	30586
861	8400	30580
862	8410	30571
863	8420	30564
864	8430	30552
865	8439	30541
866	8450	30535
867	8459	30524
868	8468	30511
869	8479	30506
870	8489	30496
871	8498	30486
872	8508	30476
873	8518	30468
874	8526	30453
875	8535	30439
876	8546	30435
877	8557	30428
878	8567	30421
879	8577	30412
880	8587	30403
881	8596	30390
882	8607	30384
883	8617	30376
884	8628	30371
885	8640	30367
886	8650	30360
887	8660	30350
888	8671	30345
889	8680	30333
890	8689	30322
891	8699	30312
892	8711	30310
893	8720	30297
894	8730	30286
895	8740	30278
896	8751	30274
897	8761	30266
898	8770	30252
899	8780	30243
900	8790	30234
901	8799	30224
902	8809	30212
903	8820	30208
904	8830	30200
905	8841	30194
906	8853	30190
907	8862	30179
908	8874	30175
909	8880	30154
910	8891	30148
911	8902	30141
912	8911	30132
913	8921	30122
914	8931	30112
915	8941	30102
916	8951	30094
917	8962	30089
918	8972	30081
919	8983	30074
920	8992	30061
921	9001	30051
922	9013	30046
923	9023	30038
924	9033	30031
925	9044	30024
926	9054	30016
927	9065	30008
928	9074	29998
929	9085	29991
930	9094	29981
931	9105	29972
932	9112	29955
933	9122	29944
934	9133	29939
935	9143	29932
936	9152	29917
937	9161	29907
938	9172	29901
939	9183	29894
940	9193	29884
941	9202	29873
942	9213	29866
943	9223	29860
944	9233	29850
945	9245	29846
946	9255	29837
947	9265	29827
948	9275	29819
949	9281	29799
950	9292	29792
951	9302	29783
952	9312	29775
953	9323	29769
954	9333	29759
955	9343	29750
956	9353	29741
957	9364	29734
958	9373	29723
959	9384	29716
960	9393	29705
961	9402	29694
962	9413	29685
963	9423	29678
964	9434	29672
965	9444	29664
966	9455	29657
967	9466	29650
968	9476	29642
969	9485	29631
970	9495	29620
971	9505	29610
972	9514	29600
973	9526	29595
974	9535	29586
975	9546	29577
976	9555	29564
977	9564	29553
978	9576	29549
979	9585	29538
980	9594	29526
981	9602	29512
982	9614	29507
983	9623	29496
984	9633	29486
985	9641	29472
986	9650	29461
987	9661	29454
988	9671	29446
989	9680	29431
990	9689	29421
991	9695	29399
992	9704	29388
993	9711	29368
994	9720	29356
995	9728	29342
996	9739	29335
997	9750	29329
998	9757	29312
999	9767	29302
1000	9777	29293
1001	9788	29286
1002	9800	29283
1003	9810	29274
1004	9821	29267
1005	9828	29251
1006	9840	29247
1007	9849	29236
1008	9859	29227
1009	9866	29210
1010	9875	29195
1011	9885	29186
1012	9894	29176
1013	9905	29169
1014	9915	29160
1015	9926	29154
1016	9937	29149
1017	9948	29140
1018	9957	29128
1019	9967	29121
1020	9976	29107
1021	9987	29102
1022	9999	29099
1023	10007	29084
1024	10016	29072
1025	10027	29067
1026	10034	29048
1027	10042	29033
1028	10053	29026
1029	10060	29009
1030	10070	28999
1031	10078	28986
1032	10089	28979
1033	10100	28973
1034	10111	28966
1035	10119	28953
1036	10130	28944
1037	10138	28932
1038	10148	28921
1039	10157	28909
1040	10169	28905
1041	10178	28895
1042	10186	28880
1043	10197	28872
1044	10207	28865
1045	10217	28855
1046	10228	28847
1047	10237	28838
1048	10247	28827
1049	10256	28816
1050	10265	28804
1051	10276	28797
1052	10285	28786
1053	10296	28778
1054	10305	28767
1055	10314	28756
1056	10329	28760
1057	10338	28748
1058	10349	28741
1059	10359	28732
1060	10370	28726
1061	10381	28720
1062	10389	28706
1063	10400	28698
1064	10409	28685
1065	10419	28677
1066	10430	28670
1067	10439	28659
1068	10449	28650
1069	10459	28641
1070	10470	28635
1071	10480	28626
1072	10491	28618
1073	10500	28607
1074	10511	28600
1075	10522	28594
1076	10533	28587
1077	10543	28579
1078	10553	28568
1079	10562	28558
1080	10571	28545
1081	10582	28540
1082	10593	28532
1083	10604	28525
1084	10612	28512
1085	10621	28500
1086	10632	28492
1087	10641	28482
1088	10650	28470
1089	10660	28460
1090	10671	28452
1091	10682	28446
1092	10693	28441
1093	10703	28431
1094	10713	28422
1095	10722	28411
1096	10733	28405
1097	10744	28396
1098	10754	28388
1099	10763	28377
1100	10773	28366
1101	10783	28357
1102	10792	28345
1103	10802	28335
1104	10813	28330
1105	10823	28321
1106	10833	28312
1107	10840	28293
1108	10849	28283
1109	10860	28275
1110	10870	28266
1111	10879	28254
1112	10889	28245
1113	10900	28238
1114	10909	28227
1115	10917	28213
1116	10927	28203
1117	10936	28192
1118	10947	28186
1119	10960	28184
1120	10969	28171
1121	10978	28159
1122	10987	28147
1123	10996	28136
1124	11006	28126
