iter	R2	RMSE
0	0.08786103375	0.1351188901
1	0.1678819472	0.1290559514
2	0.2369707358	0.1235822683
3	0.2987217537	0.1184760997
4	0.3545337652	0.1136638413
5	0.4030793228	0.1093059684
6	0.4469002373	0.1052173358
7	0.4854259747	0.101486785
8	0.5203680324	0.09798049415
9	0.5499295316	0.09491302683
10	0.5774548195	0.09196490808
11	0.6012528003	0.08933762193
12	0.6230059084	0.08686660267
13	0.6411554815	0.08474980802
14	0.6630643582	0.08212191003
15	0.684351968	0.07948535308
16	0.7035954408	0.07702434335
17	0.7205704879	0.07478624036
18	0.7353996716	0.07277475537
19	0.7489765404	0.07088310284
20	0.7610600371	0.06915601514
21	0.7718936904	0.0675700459
22	0.7814990858	0.06613208175
23	0.7903179841	0.06478376089
24	0.8005789371	0.06317875714
25	0.8099835734	0.06167102094
26	0.81819954	0.06032301692
27	0.8261925611	0.05898203396
28	0.8329065238	0.05783161384
29	0.8385926921	0.05683909596
30	0.8438922322	0.0558981998
31	0.8488379667	0.05500560266
32	0.8531382857	0.05421754661
33	0.8571174376	0.05347800283
34	0.8611041248	0.05272665728
35	0.8646681026	0.05204579542
36	0.8681515622	0.05137159606
37	0.8716422385	0.05068700521
38	0.874717667	0.05007609802
39	0.877297885	0.04955775098
40	0.8797969281	0.04905048976
41	0.8820755592	0.04858335221
42	0.8839215816	0.0482015835
43	0.8857585934	0.04781865271
44	0.8877114216	0.04740818803
45	0.8890567487	0.04712333398
46	0.8903671922	0.04684420073
47	0.8916712182	0.04656477347
48	0.8926828963	0.04634683016
49	0.8940708544	0.04604614741
50	0.8948604088	0.04587422145
51	0.8962135159	0.04557807354
52	0.8969744253	0.04541068862
53	0.8979346475	0.04519857415
54	0.8988674468	0.04499155987
55	0.8994741878	0.04485639425
56	0.9001537035	0.04470453122
57	0.9007335039	0.04457454421
58	0.901362436	0.04443311226
59	0.9019324219	0.04430454593
60	0.902468762	0.04418322711
61	0.9029908518	0.04406481088
62	0.9036128747	0.04392331183
63	0.9039827173	0.04383896279
64	0.9045911871	0.04369983638
65	0.9051380506	0.04357441722
66	0.9054781411	0.04349623754
67	0.9062144609	0.04332648972
68	0.9066863817	0.04321734467
69	0.9072022495	0.04309771939
70	0.9077468152	0.042971078
71	0.9084088175	0.04281662171
72	0.9085706679	0.04277877443
73	0.9088649224	0.04270987975
74	0.9092745388	0.04261378958
75	0.9096061712	0.04253583435
76	0.9100153278	0.04243945853
77	0.9102381361	0.04238688443
78	0.9103942862	0.04235000019
79	0.910562112	0.04231032218
80	0.9108486651	0.04224248806
81	0.9109988365	0.04220689528
82	0.9112443665	0.04214863639
83	0.9114609394	0.04209718149
84	0.9117494852	0.04202852886
85	0.911963678	0.04197749415
86	0.9123573583	0.04188353164
87	0.9125216322	0.04184426082
88	0.9128652421	0.04176199906
89	0.913175832	0.04168750277
90	0.9133227174	0.04165222527
91	0.9137018852	0.04156102205
92	0.9139099177	0.0415108978
93	0.9141385329	0.04145574433
94	0.9142728067	0.04142331651
95	0.9145511443	0.04135601558
96	0.914808882	0.04129359781
97	0.915100376	0.04122289121
98	0.9153015242	0.04117402864
99	0.9155765914	0.04110711578
100	0.9157197807	0.04107224039
101	0.9157707736	0.04105981334
102	0.9160250536	0.04099778866
103	0.9161331035	0.04097140441
104	0.9161365763	0.04097055612
105	0.9164585417	0.04089183417
106	0.9165458905	0.04087045084
107	0.9166593641	0.04084265535
108	0.9167650382	0.04081675335
109	0.9170147984	0.04075546865
110	0.9171295053	0.04072729163
111	0.9173566959	0.0406714261
112	0.9175109136	0.04063346064
113	0.9175135284	0.04063281662
114	0.9177934039	0.04056382476
115	0.9180494386	0.04050060691
116	0.9181531054	0.04047498234
117	0.9183397094	0.04042881624
118	0.9185073862	0.04038728775
119	0.9185875833	0.04036741024
120	0.9187698636	0.04032219412
121	0.91895072	0.04027728104
122	0.919093054	0.0402418992
123	0.9191767616	0.04022107635
124	0.9193025964	0.0401897538
125	0.9194631977	0.04014974173
126	0.9195776517	0.0401212024
127	0.9197187334	0.04008599543
128	0.9197241871	0.04008463384
129	0.9197920594	0.0400676847
130	0.9200276056	0.04000880818
131	0.9201932218	0.03996735924
132	0.9203830547	0.03991979663
133	0.9204691142	0.03989821575
134	0.9206913548	0.0398424311
135	0.9207271994	0.03983342642
136	0.9208146472	0.03981144973
137	0.9210357726	0.03975582406
138	0.9211651069	0.039723253
139	0.9212917066	0.03969134471
140	0.9215064372	0.03963716511
141	0.9217209423	0.03958296838
142	0.9219092936	0.03953531836
143	0.9222713118	0.03944357166
144	0.9224296061	0.03940338784
145	0.9225193255	0.03938059387
146	0.9226869076	0.03933798291
147	0.922821875	0.03930363125
148	0.9229517111	0.03927055725
149	0.9230287039	0.0392509312
150	0.9231252959	0.03922629529
151	0.923289663	0.03918433765
152	0.9234159509	0.03915206987
153	0.9235223077	0.03912487402
154	0.9237093031	0.03907701267
155	0.9238103572	0.03905112353
156	0.9239523011	0.0390147298
157	0.9240162183	0.03899833064
158	0.9241497143	0.03896405748
159	0.9242785446	0.03893095354
160	0.9243946601	0.03890109265
161	0.9245498389	0.03886115019
162	0.9245926072	0.03885013458
163	0.9246856253	0.03882616555
164	0.9248396339	0.0387864479
165	0.9249080695	0.03876878581
166	0.9250618588	0.03872906596
167	0.9250957781	0.03872029999
168	0.9251530797	0.03870548666
169	0.9254931257	0.0386174628
170	0.9255636725	0.03859917602
171	0.9257019823	0.03856329888
172	0.9258986813	0.03851221816
173	0.9259876357	0.03848909535
174	0.9261345688	0.03845087113
175	0.9262986602	0.03840813825
176	0.9264023497	0.03838111077
177	0.926518732	0.03835075214
178	0.9266607651	0.03831366982
179	0.9267466989	0.0382912166
180	0.9268359148	0.03826789187
181	0.9268364218	0.03826775928
182	0.9270467241	0.03821272105
183	0.9270471588	0.0382126072
184	0.9270935446	0.03820045684
185	0.9271707596	0.03818022251
186	0.9272637708	0.03815583447
187	0.9274097914	0.03811751562
188	0.927557383	0.03807874534
189	0.9276498142	0.03805444481
190	0.9278472808	0.038002478
191	0.9278882695	0.0379916822
192	0.9279921151	0.03796431708
193	0.9282248052	0.03790292749
194	0.928301283	0.03788272897
195	0.9283760451	0.03786297318
196	0.9284448018	0.03784479519
197	0.9284762878	0.03783646797
198	0.9286409894	0.0377928788
199	0.9287603581	0.03776125578
200	0.928874381	0.03773102421
201	0.9289203573	0.03771882737
202	0.9289924658	0.03769969013
203	0.9290934005	0.03767288621
204	0.9291820402	0.03764933159
205	0.9292923449	0.03761999921
206	0.9293515281	0.03760425171
207	0.9293528953	0.03760388786
208	0.9294655554	0.03757389265
209	0.9295504763	0.03755126704
210	0.9296537913	0.03752372226
211	0.929732671	0.03750267856
212	0.9297731075	0.03749188624
213	0.9298223903	0.03747872867
214	0.9298803267	0.03746325486
215	0.9300900773	0.03740718053
216	0.9302599538	0.03736170441
217	0.9304082792	0.03732195222
218	0.9305622733	0.03728063592
219	0.930689433	0.03724648471
220	0.9307803968	0.03722203538
221	0.9308520102	0.03720277574
222	0.9308885783	0.03719293733
223	0.9309870069	0.03716644277
224	0.9310389856	0.03715244376
225	0.9311611892	0.03711951083
226	0.9311833172	0.03711354439
227	0.9312424871	0.03709758549
228	0.9312812398	0.03708712965
229	0.9313285886	0.03707435051
230	0.9314026899	0.0370543422
231	0.9314474307	0.03704225635
232	0.9315398661	0.03701727429
233	0.931595165	0.03700232085
234	0.9316432637	0.03698930951
235	0.9317257812	0.03696697678
236	0.9317596197	0.03695781472
237	0.9318203305	0.0369413711
238	0.9318519145	0.03693281363
239	0.9319068102	0.03691793528
240	0.9319124832	0.03691639741
241	0.9320285686	0.03688491379
242	0.9320339469	0.03688345449
243	0.9320766309	0.03687187089
244	0.9321205131	0.03685995836
245	0.932238429	0.03682792907
246	0.9323038145	0.0368101565
247	0.9325020986	0.03675620795
248	0.9325640772	0.03673932874
249	0.9326508727	0.0367156779
250	0.9326523553	0.03671527377
251	0.9327099612	0.03669956816
252	0.9327794702	0.03668060838
253	0.9328834505	0.03665222766
254	0.9329067548	0.03664586387
255	0.9330228817	0.0366141363
256	0.9330295334	0.0366123181
257	0.9330345531	0.03661094596
258	0.9331752758	0.0365724582
259	0.9332438483	0.03655368888
260	0.9332955618	0.03653952777
261	0.9333704151	0.03651902035
262	0.9334882349	0.03648671812
263	0.9335917899	0.0364583032
264	0.9336467811	0.03644320491
265	0.9336569586	0.03644040989
266	0.9337113552	0.03642546755
267	0.9337624721	0.03641142053
268	0.9338385799	0.03639049592
269	0.9338830768	0.03637825663
270	0.9339462614	0.03636087004
271	0.9339775452	0.03635225856
272	0.9340495193	0.03633243854
273	0.9341255993	0.03631147607
274	0.9341910202	0.03629344085
275	0.9342349867	0.03628131511
276	0.9342564532	0.03627539331
277	0.9343025129	0.03626268388
278	0.9343708833	0.03624380994
279	0.9344277593	0.03622810159
280	0.9344758171	0.0362148234
281	0.9345259711	0.03620096083
282	0.934578409	0.03618646134
283	0.9346657752	0.03616229095
